title,year,description,img_path,more_info
Closed Solar-Powered Chili Dryer,20XX,A Solar-Powered Chili Dryer aimed to protect chilis from exposure problems even with the abscence of sunlight,../build/img/OJT/,
Project BARAKO,20XX,The BARAKO Project aims to develop an optimized method of propagating kapeng Barako seedlings.,../build/img/Center Projects/Barako/1.webp,../build/img/Center Projects/Barako/2.webp
Project SIGAW,20XX,A cost-efficient tsunami early warning system to serve as an early warning to high-risk coastal areas.,../build/img/Center Projects/Sigaw/1.webp,../build/img/Center Projects/Sigaw/2.webp
Project SAGIP,20XX,Project SAGIP aims monitor and provide real-time air quality data for immediate alerts when dangerous gas levels are detected,../build/img/Center Projects/Sagip/1(1).webp,../build/img/Center Projects/Sagip/1.webp
Collapsible Solar Power Station for Farms,2022,A Mobile Power Station for Farms aimed to solve energy problems experienced by farmers in Lobo.,../build/img/Center Projects/Collapsible/1.webp,../build/img/Center Projects/Collapsible/2.webp
Project SINAG,2025,SINAG aims to streamline the process of pattern transfer during PCB prototyping and enhance design flexibility.,../build/img/Center Projects/Sinag/1.webp,../build/img/Center Projects/Sinag/2.webp
